"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","DEN","RMG","RMN"
1482.5,14.582,76.8082,113.3681,312.7362,4.26,5.136,2.4721,2.361,2.7461
1482.625,14.59,76.2395,119.3961,316.768,3.9269,4.7329,2.462,2.1915,2.5792
1482.75,14.599,75.5384,121.5592,320.1263,3.6988,4.4498,2.4627,2.0828,2.409
1482.875,14.607,74.7578,119.2282,319.2169,3.6974,4.4525,2.4738,2.1156,2.4523
1483,14.615,73.6796,112.2146,311.7807,4.0764,4.9453,2.5003,2.3857,2.7736
1483.125,14.624,72.7033,101.3003,296.4785,5.3437,6.5189,2.5386,3.0789,3.6034
1483.25,14.632,71.9268,90.961,279.2899,7.0077,8.5341,2.5543,4.0101,5.1207
1483.375,14.64,71.2833,83.8721,265.1556,8.5406,10.3665,2.5367,5.7752,7.0498
1483.5,14.649,71.0558,83.4362,260.9264,9.143,11.0963,2.4839,6.245,7.2942
1483.625,14.657,71.1409,91.8732,272.955,8.0236,9.7937,2.4339,4.738,5.8117
1483.75,14.666,71.7491,101.5066,292.3671,6.2382,7.6539,2.404,3.3353,3.9588
1483.875,14.674,72.6612,108.4923,313.6631,4.4832,5.462,2.3953,2.3963,2.7644
1484,14.682,73.3213,111.5513,332.4763,3.2828,3.8357,2.3993,1.8789,2.2067
1484.125,14.691,73.3353,115.1923,342.1165,2.9678,3.2598,2.404,1.7522,2.0529
1484.25,14.699,73.7014,121.1552,343.7778,2.9508,3.0897,2.4029,1.7177,2.0146
1484.375,14.707,73.8828,127.9125,340.776,3.0525,3.1226,2.3982,1.7259,2.0203
1484.5,14.716,73.4023,132.8422,338.9031,3.1277,3.1823,2.3876,1.7305,2.0215
1484.625,14.724,72.9183,134.4671,339.995,3.1038,3.1682,2.3747,1.7195,2.0136
1484.75,14.732,72.8507,134.1477,340.2202,3.0436,3.1217,2.3735,1.7152,2.0099
1484.875,14.741,73.1125,131.4259,339.7554,2.9786,3.0771,2.3864,1.719,2.0154
1485,14.749,73.3181,125.8079,339.6847,2.9486,3.076,2.4087,1.7326,2.0324
1485.125,14.758,73.1006,118.2345,336.6569,3.0857,3.266,2.4282,1.786,2.0996
1485.25,14.766,72.6201,111.9857,328.5456,3.4037,3.6594,2.4416,1.931,2.2601
1485.375,14.774,72.0975,107.7855,317.0087,3.8568,4.207,2.4498,2.2175,2.5424
1485.5,14.783,71.4765,105.8449,304.9165,4.3304,4.7765,2.4486,2.6213,2.9947
1485.625,14.791,70.7738,107.2529,301.0705,4.4562,4.9494,2.4339,2.732,3.0728
1485.75,14.799,70.5525,111.8583,305.0661,4.265,4.7466,2.4169,2.5813,2.9495
1485.875,14.808,70.6186,119.1588,313.5563,3.8404,4.2537,2.4,2.2854,2.5948
1486,14.816,70.7037,126.9247,322.9262,3.3542,3.6587,2.3923,1.9723,2.277
1486.125,14.824,70.9427,131.3088,333.0578,3.0433,3.2211,2.3958,1.7857,2.0914
1486.25,14.833,70.7691,133.1664,339.3726,2.9057,2.9733,2.4005,1.7119,2.0104
1486.375,14.841,70.6283,133.3231,340.8147,2.8801,2.8643,2.4017,1.6974,2.0012
1486.5,14.849,70.7442,132.0376,340.5177,2.8815,2.816,2.397,1.6999,2.0032
1486.625,14.858,70.5743,129.0837,343.8389,2.7902,2.7026,2.393,1.6728,1.9786
1486.75,14.866,70.1022,125.9336,346.0776,2.6726,2.5703,2.3982,1.6645,1.9714
1486.875,14.875,69.5413,122.8834,346.5386,2.5905,2.4798,2.4104,1.6654,1.9741
1487,14.883,69.0365,119.4325,345.259,2.6089,2.4988,2.4299,1.6809,1.9943
1487.125,14.891,68.3214,114.0372,339.1996,2.7875,2.7017,2.4505,1.7422,2.058
1487.25,14.9,68.1126,107.7719,331.513,3.0497,3.0114,2.471,1.8533,2.169
1487.375,14.908,68.1163,102.2031,324.8491,3.3423,3.365,2.4914,1.9826,2.2902
1487.5,14.916,68.1733,99.1608,319.9315,3.6081,3.6955,2.512,2.1085,2.4381
1487.625,14.925,67.9995,101.5715,316.9649,3.7115,3.8493,2.516,2.1883,2.5053
1487.75,14.933,67.7698,105.2504,316.9659,3.6779,3.8425,2.5073,2.1726,2.4876
1487.875,14.941,67.3553,108.3699,320.537,3.5191,3.6826,2.481,2.0565,2.3809
1488,14.95,67.0515,110.0042,327.6964,3.263,3.3947,2.4369,1.9114,2.2252
1488.125,14.958,67.3127,111.5232,338.6859,2.9807,3.0591,2.3857,1.7573,2.0679
1488.25,14.967,67.7495,113.3554,350.2431,2.7397,2.7656,2.3488,1.6567,1.9736
