"DEPTH","ZONE","SP","GR","AC","RLLD","RLLS","RMG","RMN"
1259.25,0.856,71.4483,109.4898,344.6967,1.8405,2.5197,1.6063,1.8966
1259.375,0.864,71.157,112.5816,378.0203,2.0589,2.7168,1.5026,1.7863
1259.5,0.872,70.7834,111.9074,392.3812,2.6444,3.1793,1.4943,1.7778
1259.625,0.881,70.3503,106.4693,339.8202,3.1343,3.5465,2.1485,2.5209
1259.75,0.889,70.0626,101.2066,298.4147,3.3113,3.6976,3.1788,3.6473
1259.875,0.898,69.9408,100.3185,297.4764,3.3316,3.7962,2.8352,3.2405
1260,0.906,70.1619,106.2555,352.3195,2.909,3.5363,1.7572,2.0834
1260.125,0.914,70.5489,105.9375,355.6445,2.3853,3.107,1.6029,1.8936
1260.25,0.923,70.8214,101.5902,351.5275,2.2023,2.9309,1.5045,1.7887
1260.375,0.931,71.0111,100.0169,351.5074,2.3162,2.9984,1.6006,1.8909
1260.5,0.94,71.0152,105.4113,350.2372,2.5266,3.156,1.7736,2.0741
1260.625,0.948,70.9584,114.9608,346.4505,2.6045,3.2018,1.7101,2.0046
1260.75,0.956,70.9326,117.3839,339.5213,2.6214,3.1934,1.8868,2.1922
1260.875,0.965,70.9653,119.7576,342.7134,2.5666,3.1598,1.8694,2.1751
1261,0.973,71.065,127.0761,362.3346,2.4729,3.1319,1.7952,2.0977
1261.125,0.982,71.2109,128.8851,372.7666,2.6486,3.2839,1.7763,2.0759
1261.25,0.99,71.3372,122.8878,362.2521,2.9757,3.509,1.962,2.2725
1261.375,0.998,71.5072,109.8846,332.4308,3.3972,3.8253,2.4346,2.781
1261.5,1.018,71.5174,97.9284,301.8324,3.6342,4.0149,2.6365,3.0148
1261.625,1.04,71.3919,95.3189,291.8721,3.774,4.1441,2.8642,3.2303
1261.75,1.062,71.197,98.5368,304.4432,3.2207,3.7924,2.4239,2.7639
1261.875,1.085,70.906,103.3226,320.2029,2.985,3.6083,2.1603,2.4857
1262,1.107,70.1749,110.1093,327.1052,3.3961,3.8898,2.2626,2.6584
1262.125,1.129,69.4038,109.276,350.2428,3.9483,4.2806,2.3822,2.9961
1262.25,1.152,68.2612,104.9343,298.2752,4.4417,4.6467,5.1189,5.7712
1262.375,1.174,66.9596,105.0987,270.9155,4.9021,4.9532,4.1119,5.1019
1262.5,1.196,65.5023,110.6026,284.4005,5.6934,5.6512,3.9204,4.4879
1262.625,1.219,63.8561,109.2103,295.9821,6.3431,6.3446,3.2437,3.8657
1262.75,1.241,62.6109,100.2636,291.4774,7.011,6.9455,3.3559,4.2715
1262.875,1.263,61.5345,92.4245,277.4249,7.3427,7.239,4.4601,6.1366
1263,1.286,59.8945,85.4569,250.7347,7.7596,7.7417,7.084,8.5349
1263.125,1.308,58.6354,88.757,279.3554,8.138,8.194,4.7193,5.4148
1263.25,1.33,57.9199,95.0722,289.3369,8.2599,8.3646,4.2119,4.765
1263.375,1.353,57.2995,96.9908,290.934,7.7817,7.9031,4.2777,4.9204
1263.5,1.375,56.6215,91.3883,280.406,7.7926,7.7132,4.447,6.1907
1263.625,1.397,55.4151,89.8534,274.9039,8.2176,7.9313,5.1596,6.5892
1263.75,1.42,54.5766,92.7698,280.6578,8.0082,7.8516,4.7971,5.5163
1263.875,1.442,53.8193,96.026,290.3826,7.142,7.2744,4.1495,4.9087
1264,1.464,53.2758,96.2672,289.6641,6.6001,6.8564,4.143,4.8418
1264.125,1.487,52.6117,92.4409,286.7207,7.3101,7.4073,4.2393,4.8965
1264.25,1.509,51.6468,88.0607,282.2777,8.4766,8.2971,4.372,5.4435
1264.375,1.531,49.8017,84.0973,279.0818,9.9519,9.4484,4.756,6.1331
1264.5,1.554,47.5835,82.4527,282.714,10.349,9.851,3.6902,5.6064
1264.625,1.576,45.6877,85.4732,285.7485,8.9738,8.9506,3.5457,5.5918
1264.75,1.598,45.733,98.2572,282.9607,7.6637,7.9333,4.1296,5.3
1264.875,1.621,47.0211,111.6662,286.502,6.984,7.3682,4.3483,4.9647
1265,1.643,50.3048,118.3213,291.9029,6.2603,6.7859,3.9998,4.7077
1265.125,1.665,52.7858,110.2628,288.76,7.3209,7.4898,4.5179,5.5676
1265.25,1.687,53.9345,101.6507,284.66,9.272,8.9205,4.4971,5.6584
1265.375,1.71,54.6509,93.1481,277.5863,10.5287,9.9607,4.3321,5.7767
1265.5,1.732,55.2357,90.0782,242.9783,9.5519,9.388,8.4115,11.479
1265.625,1.754,56.306,99.0904,251.1401,7.3799,7.7505,8.9426,10.4636
1265.75,1.777,57.5467,110.2628,285.0449,5.6947,6.5167,3.7889,4.5269
1265.875,1.799,58.7319,116.8905,301.0398,4.2715,5.2728,3.2716,3.8286
1266,1.821,60.4164,119.5109,304.6552,3.6384,4.5541,3.0599,3.5115
1266.125,1.844,61.2999,117.5648,304.9056,4.1344,4.9075,3.0024,3.4456
1266.25,1.866,61.9812,113.4753,329.994,4.6676,5.3462,2.6366,3.1492
1266.375,1.888,62.3641,112.0006,301.5415,4.6871,5.3646,3.9715,4.5357
1266.5,1.911,62.6767,112.6584,273.5063,4.6032,5.2462,4.1698,4.6253
1266.625,1.933,63.1917,118.4913,318.6416,4.1019,4.8652,2.3781,2.7318
1266.75,1.955,63.7961,121.8681,323.3525,3.1009,4.0562,2.6095,2.976
1266.875,1.978,64.2378,119.0175,322.9718,2.6868,3.6742,2.0978,2.4196
1267,2,64.5108,111.2605,338.8239,2.9451,3.8183,2.0407,2.3676
1267.125,2.038,64.083,105.329,352.3289,3.2589,4.0234,2.3924,3.485
1267.25,2.076,63.3028,101.3492,309.2748,3.825,4.5178,3.9892,4.9865
1267.375,2.114,61.8275,99.5894,295.4265,4.9839,5.4635,3.511,4.0884
1267.5,2.152,59.9473,100.2692,284.6607,6.3172,6.5987,4.4573,5.11
1267.625,2.189,57.7993,102.2755,284.6807,6.0525,6.5403,4.9348,5.4737
1267.75,2.227,56.6714,103.953,288.7774,5.9557,6.5258,4.6383,5.1225
1267.875,2.265,55.7964,108.8704,289.917,5.6269,6.4251,3.8382,4.3488
1268,2.303,55.1924,117.1975,287.4334,5.1395,6.2016,3.8558,4.2903
1268.125,2.341,54.4102,117.2742,288.6128,5.5472,6.6677,4.1033,4.5513
1268.25,2.379,53.049,113.1244,290.8788,6.3653,7.4543,4.1079,4.6395
